2	0
3	1
4	2
5	2
6	3
7	3
8	4
9	4
10	4
11	4
12	5
13	5
14	6
15	6
16	6
17	6
18	7
19	7
20	8
21	8
22	8
23	8
24	9
25	9
26	9
27	9
28	9
29	9
30	10
31	10
32	11
33	11
34	11
35	11
36	11
37	11
38	12
39	12
40	12
41	12
42	13
43	13
44	14
45	14
46	14
47	14
48	15
49	15
50	15
51	15
52	15
53	15
54	16
55	16
56	16
57	16
58	16
59	16
60	17
61	17
62	18
63	18
64	18
65	18
66	18
67	18
68	19
69	19
70	19
71	19
72	20
73	20
74	21
75	21
76	21
77	21
78	21
79	21
80	22
81	22
82	22
83	22
84	23
85	23
86	23
87	23
88	23
89	23
90	24
91	24
92	24
93	24
94	24
95	24
96	24
97	24
98	25
99	25
100	25
101	25
102	26
103	26
104	27
105	27
106	27
107	27
108	28
109	28
110	29
111	29
112	29
113	29
114	30
115	30
116	30
117	30
118	30
119	30
120	30
121	30
122	30
123	30
124	30
125	30
126	30
127	30
128	31
129	31
130	31
131	31
132	32
133	32
134	32
135	32
136	32
137	32
138	33
139	33
140	34
141	34
142	34
143	34
144	34
145	34
146	34
147	34
148	34
149	34
150	35
151	35
152	36
153	36
154	36
155	36
156	36
157	36
158	37
159	37
160	37
161	37
162	37
163	37
164	38
165	38
166	38
167	38
168	39
169	39
170	39
171	39
172	39
173	39
174	40
175	40
176	40
177	40
178	40
179	40
180	41
181	41
182	42
183	42
184	42
185	42
186	42
187	42
188	42
189	42
190	42
191	42
192	43
193	43
194	44
195	44
196	44
197	44
198	45
199	45
200	46
201	46
202	46
203	46
204	46
205	46
206	46
207	46
208	46
209	46
210	46
211	46
212	47
213	47
214	47
215	47
216	47
217	47
218	47
219	47
220	47
221	47
222	47
223	47
224	48
225	48
226	48
227	48
228	49
229	49
230	50
231	50
232	50
233	50
234	51
235	51
236	51
237	51
238	51
239	51
240	52
241	52
242	53
243	53
244	53
245	53
246	53
247	53
248	53
249	53
250	53
251	53
252	54
253	54
254	54
255	54
256	54
257	54
258	55
259	55
260	55
261	55
262	55
263	55
264	56
265	56
266	56
267	56
268	56
269	56
270	57
271	57
272	58
273	58
274	58
275	58
276	58
277	58
278	59
279	59
280	59
281	59
282	60
283	60
284	61
285	61
286	61
287	61
288	61
289	61
290	61
291	61
292	61
293	61
294	62
295	62
296	62
297	62
298	62
299	62
300	62
301	62
302	62
303	62
304	62
305	62
306	62
307	62
308	63
309	63
310	63
311	63
312	64
313	64
314	65
315	65
316	65
317	65
318	66
319	66
320	66
321	66
322	66
323	66
324	66
325	66
326	66
327	66
328	66
329	66
330	66
331	66
332	67
333	67
334	67
335	67
336	67
337	67
338	68
339	68
340	68
341	68
342	68
343	68
344	68
345	68
346	68
347	68
348	69
349	69
350	70
351	70
352	70
353	70
354	71
355	71
356	71
357	71
358	71
359	71
360	72
361	72
362	72
363	72
364	72
365	72
366	72
367	72
368	73
369	73
370	73
371	73
372	73
373	73
374	74
375	74
376	74
377	74
378	74
379	74
380	75
381	75
382	75
383	75
384	76
385	76
386	76
387	76
388	76
389	76
390	77
391	77
392	77
393	77
394	77
395	77
396	77
397	77
398	78
399	78
400	78
401	78
402	79
403	79
404	79
405	79
406	79
407	79
408	79
409	79
410	80
411	80
412	80
413	80
414	80
415	80
416	80
417	80
418	80
419	80
420	81
421	81
422	82
423	82
424	82
425	82
426	82
427	82
428	82
429	82
430	82
431	82
432	83
433	83
434	84
435	84
436	84
437	84
438	84
439	84
440	85
441	85
442	85
443	85
444	86
445	86
446	86
447	86
448	86
449	86
450	87
451	87
452	87
453	87
454	87
455	87
456	87
457	87
458	88
459	88
460	88
461	88
462	89
463	89
464	90
465	90
466	90
467	90
468	91
469	91
470	91
471	91
472	91
473	91
474	91
475	91
476	91
477	91
478	91
479	91
480	92
481	92
482	92
483	92
484	92
485	92
486	92
487	92
488	93
489	93
490	93
491	93
492	94
493	94
494	94
495	94
496	94
497	94
498	94
499	94
500	95
501	95
502	95
503	95
504	96
505	96
506	96
507	96
508	96
509	96
510	97
511	97
512	97
513	97
514	97
515	97
516	97
517	97
518	97
519	97
520	97
521	97
522	98
523	98
524	99
525	99
526	99
527	99
528	99
529	99
530	99
531	99
532	99
533	99
534	99
535	99
536	99
537	99
538	99
539	99
540	99
541	99
542	100
543	100
544	100
545	100
546	100
547	100
548	101
549	101
550	101
551	101
552	101
553	101
554	101
555	101
556	101
557	101
558	102
559	102
560	102
561	102
562	102
563	102
564	103
565	103
566	103
567	103
568	103
569	103
570	104
571	104
572	105
573	105
574	105
575	105
576	105
577	105
578	106
579	106
580	106
581	106
582	106
583	106
584	106
585	106
586	106
587	106
588	107
589	107
590	107
591	107
592	107
593	107
594	108
595	108
596	108
597	108
598	108
599	108
600	109
601	109
602	110
603	110
604	110
605	110
606	110
607	110
608	111
609	111
610	111
611	111
612	111
613	111
614	112
615	112
616	112
617	112
618	113
619	113
620	114
621	114
622	114
623	114
624	114
625	114
626	114
627	114
628	114
629	114
630	114
631	114
632	115
633	115
634	115
635	115
636	115
637	115
638	115
639	115
640	115
641	115
642	116
643	116
644	117
645	117
646	117
647	117
648	118
649	118
650	118
651	118
652	118
653	118
654	119
655	119
656	119
657	119
658	119
659	119
660	120
661	120
662	121
663	121
664	121
665	121
666	121
667	121
668	121
669	121
670	121
671	121
672	121
673	121
674	122
675	122
676	122
677	122
678	123
679	123
680	123
681	123
682	123
683	123
684	124
685	124
686	124
687	124
688	124
689	124
690	124
691	124
692	125
693	125
694	125
695	125
696	125
697	125
698	125
699	125
700	125
701	125
702	126
703	126
704	126
705	126
706	126
707	126
708	126
709	126
710	127
711	127
712	127
713	127
714	127
715	127
716	127
717	127
718	127
719	127
720	128
721	128
722	128
723	128
724	128
725	128
726	128
727	128
728	129
729	129
730	129
731	129
732	129
733	129
734	130
735	130
736	130
737	130
738	130
739	130
740	131
741	131
742	131
743	131
744	132
745	132
746	132
747	132
748	132
749	132
750	132
751	132
752	133
753	133
754	133
755	133
756	133
757	133
758	134
759	134
760	134
761	134
762	135
763	135
764	135
765	135
766	135
767	135
768	135
769	135
770	136
771	136
772	136
773	136
774	137
775	137
776	137
777	137
778	137
779	137
780	137
781	137
782	137
783	137
784	137
785	137
786	137
787	137
788	138
789	138
790	138
791	138
792	138
793	138
794	138
795	138
796	138
797	138
798	139
799	139
800	139
801	139
802	139
803	139
804	139
805	139
806	139
807	139
808	139
809	139
810	140
811	140
812	141
813	141
814	141
815	141
816	141
817	141
818	141
819	141
820	141
821	141
822	142
823	142
824	143
825	143
826	143
827	143
828	144
829	144
830	145
831	145
832	145
833	145
834	145
835	145
836	145
837	145
838	145
839	145
840	146
841	146
842	146
843	146
844	146
845	146
846	146
847	146
848	146
849	146
850	146
851	146
852	146
853	146
854	147
855	147
856	147
857	147
858	148
859	148
860	149
861	149
862	149
863	149
864	150
865	150
866	150
867	150
868	150
869	150
870	150
871	150
872	150
873	150
874	150
875	150
876	150
877	150
878	151
879	151
880	151
881	151
882	152
883	152
884	153
885	153
886	153
887	153
888	154
889	154
890	154
891	154
892	154
893	154
894	154
895	154
896	154
897	154
898	154
899	154
900	154
901	154
902	154
903	154
904	154
905	154
906	154
907	154
908	155
909	155
910	155
911	155
912	156
913	156
914	156
915	156
916	156
917	156
918	156
919	156
920	157
921	157
922	157
923	157
924	157
925	157
926	157
927	157
928	157
929	157
930	158
931	158
932	158
933	158
934	158
935	158
936	158
937	158
938	159
939	159
940	159
941	159
942	160
943	160
944	160
945	160
946	160
947	160
948	161
949	161
950	161
951	161
952	161
953	161
954	162
955	162
956	162
957	162
958	162
959	162
960	162
961	162
962	162
963	162
964	162
965	162
966	162
967	162
968	163
969	163
970	163
971	163
972	164
973	164
974	164
975	164
976	164
977	164
978	165
979	165
980	165
981	165
982	165
983	165
984	166
985	166
986	166
987	166
988	166
989	166
990	166
991	166
992	167
993	167
994	167
995	167
996	167
997	167
998	168
999	168
1000	168
1001	168
1002	168
1003	168
1004	168
1005	168
1006	168
1007	168
1008	168
1009	168
1010	169
1011	169
1012	169
1013	169
1014	170
1015	170
1016	170
1017	170
1018	170
1019	170
1020	171
1021	171
1022	172
1023	172
1024	172
1025	172
1026	172
1027	172
1028	172
1029	172
1030	172
1031	172
1032	173
1033	173
1034	174
1035	174
1036	174
1037	174
1038	174
1039	174
1040	175
1041	175
1042	175
1043	175
1044	175
1045	175
1046	175
1047	175
1048	175
1049	175
1050	176
1051	176
1052	177
1053	177
1054	177
