0	1.5	0
0.1	1.5	0.599167
0.2	1.55992	1.19335
0.3	1.67925	1.7776
0.4	1.85701	2.34709
0.5	2.09172	2.89713
0.6	2.38143	3.42321
0.7	2.72375	3.92109
0.8	3.11586	4.38678
0.9	3.55454	4.81663
1	4.0362	5.20735
1.1	4.55694	5.55604
1.2	5.11254	5.8602
1.3	5.69856	6.11779
1.4	6.31034	6.32725
1.5	6.94307	6.48747
1.6	7.59182	6.59787
1.7	8.2516	6.65832
1.8	8.91743	6.66924
1.9	9.58436	6.6315
2	10.2475	6.54649
2.1	10.9022	6.41605
2.2	11.5438	6.24248
2.3	12.168	6.02853
2.4	12.7709	5.77732
2.5	13.3486	5.49236
2.6	13.8978	5.17751
2.7	14.4156	4.8369
2.8	14.8993	4.47494
2.9	15.3468	4.09625
3	15.7564	3.7056
3.1	16.1269	3.3079
3.2	16.4577	2.90813
3.3	16.7486	2.51127
3.4	16.9997	2.12229
3.5	17.2119	1.74608
3.6	17.3865	1.3874
3.7	17.5253	1.05082
3.8	17.6303	0.740711
3.9	17.7044	0.461169
4	17.7505	0.215988
4.1	17.7721	0.00861444
4.2	17.773	-0.157879
4.3	17.7572	-0.28083
4.4	17.7291	-0.35801
4.5	17.6933	-0.387651
4.6	17.6546	-0.368455
4.7	17.6177	-0.299616
4.8	17.5877	-0.180823
4.9	17.5697	-0.0122631
5	17.5684	0.205379
5.1	17.589	0.470927
5.2	17.6361	0.782727
5.3	17.7143	1.13866
5.4	17.8282	1.53618
5.5	17.9818	1.9723
5.6	18.1791	2.44367
5.7	18.4234	2.94657
5.8	18.7181	3.47699
5.9	19.0658	4.03062
6	19.4688	4.60292
6.1	19.9291	5.18919
6.2	20.448	5.78455
6.3	21.0265	6.38407
6.4	21.6649	6.98275
6.5	22.3632	7.5756
6.6	23.1207	8.15771
6.7	23.9365	8.72425
6.8	24.8089	9.27057
6.9	25.736	9.7922
7	26.7152	10.2849
7.1	27.7437	10.7448
7.2	28.8182	11.1683
7.3	29.935	11.5522
7.4	31.0902	11.8935
7.5	32.2796	12.19
7.6	33.4986	12.4396
7.7	34.7426	12.6408
7.8	36.0066	12.7927
7.9	37.2859	12.8947
8	38.5754	12.9468
8.1	39.8701	12.9494
8.2	41.165	12.9037
8.3	42.4554	12.8109
8.4	43.7365	12.673
8.5	45.0038	12.4924
8.6	46.253	12.272
8.7	47.4802	12.0148
8.8	48.6817	11.7246
8.9	49.8541	11.4051
9	50.9947	11.0606
9.1	52.1007	10.6955
9.2	53.1703	10.3144
9.3	54.2017	9.92227
9.4	55.1939	9.52388
9.5	56.1463	9.12424
9.6	57.0588	8.72837
9.7	57.9316	8.3412
9.8	58.7657	7.9676
9.9	59.5625	7.61232
10	60.3237	7.27989

0	1.52998	0
0.1	1.61967	0.599167
0.2	1.76832	1.19335
0.3	1.9747	1.7776
0.4	2.23709	2.34709
0.5	2.55332	2.89713
0.6	2.92079	3.42321
0.7	3.33647	3.92109
0.8	3.79695	4.38678
0.9	4.29849	4.81663
1	4.83702	5.20735
1.1	5.40821	5.55604
1.2	6.00751	5.8602
1.3	6.63016	6.11779
1.4	7.27131	6.32725
1.5	7.926	6.48747
1.6	8.58922	6.59787
1.7	9.25601	6.65832
1.8	9.92145	6.66924
1.9	10.5807	6.6315
2	11.2292	6.54649
2.1	11.8625	6.41605
2.2	12.4764	6.24248
2.3	13.067	6.02853
2.4	13.6307	5.77732
2.5	14.1644	5.49236
2.6	14.6654	5.17751
2.7	15.1311	4.8369
2.8	15.5598	4.47494
2.9	15.95	4.09625
3	16.3007	3.7056
3.1	16.6115	3.3079
3.2	16.8824	2.90813
3.3	17.114	2.51127
3.4	17.3073	2.12229
3.5	17.4638	1.74608
3.6	17.5855	1.3874
3.7	17.6748	1.05082
3.8	17.7347	0.740711
3.9	17.7682	0.461169
4	17.7791	0.215988
4.1	17.7713	0.00861444
4.2	17.749	-0.157879
4.3	17.7167	-0.28083
4.4	17.679	-0.35801
4.5	17.6408	-0.387651
4.6	17.6069	-0.368455
4.7	17.5825	-0.299616
4.8	17.5724	-0.180823
4.9	17.5817	-0.0122631
5	17.6151	0.205379
5.1	17.6774	0.470927
5.2	17.7731	0.782727
5.3	17.9065	1.13866
5.4	18.0817	1.53618
5.5	18.3022	1.9723
5.6	18.5714	2.44367
5.7	18.8924	2.94657
5.8	19.2676	3.47699
5.9	19.6991	4.03062
6	20.1887	4.60292
6.1	20.7373	5.18919
6.2	21.3457	5.78455
6.3	22.0141	6.38407
6.4	22.7421	6.98275
6.5	23.5288	7.5756
6.6	24.3731	8.15771
6.7	25.273	8.72425
6.8	26.2264	9.27057
6.9	27.2305	9.7922
7	28.2823	10.2849
7.1	29.3782	10.7448
7.2	30.5146	11.1683
7.3	31.6873	11.5522
7.4	32.8918	11.8935
7.5	34.1237	12.19
7.6	35.3781	12.4396
7.7	36.6502	12.6408
7.8	37.935	12.7927
7.9	39.2275	12.8947
8	40.5227	12.9468
8.1	41.8158	12.9494
8.2	43.1019	12.9037
8.3	44.3764	12.8109
8.4	45.6351	12.673
8.5	46.8736	12.4924
8.6	48.0882	12.272
8.7	49.2755	12.0148
8.8	50.4322	11.7246
8.9	51.5557	11.4051
9	52.6436	11.0606
9.1	53.6942	10.6955
9.2	54.7061	10.3144
9.3	55.6785	9.92227
9.4	56.6109	9.52388
9.5	57.5034	9.12424
9.6	58.3568	8.72837
9.7	59.1721	8.3412
9.8	59.951	7.9676
9.9	60.6954	7.61232
10	61.4078	7.27989
